"Time","Voltage","Excitation_Voltage","Ratio","Force (lbs)"
159.9996,0.004,14.94522,0,0
159.9997,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
160.0396,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
160.0397,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.0397,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
160.0397,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
160.0796,0.004,14.95895,-2.45655847050559e-07,0.1247133912071866
160.0797,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
160.0797,0.00399,14.94446,-6.555332532438753e-07,0.3327980019311211
160.0797,0.00399,14.94446,-6.555332532438753e-07,0.3327980019311211
160.1196,0.00399,14.94827,-7.235830309419928e-07,0.3673451891832151
160.1197,0.00399,14.95514,-8.461993335449891e-07,0.4295944500842145
160.1197,0.00399,14.95209,-7.917766002701887e-07,0.4019653758856767
160.1197,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
160.1596,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.1597,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
160.1597,0.00399,14.95361,-8.189015243535193e-07,0.4157360282405274
160.1597,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.1996,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.1996,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
160.1996,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
160.1996,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.2396,0.00399,14.9437,-6.419548681749362e-07,0.3259045920269966
160.2397,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
160.2397,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
160.2397,0.004,14.93912,1.092854885613209e-07,-0.05548153667765718
160.2796,0.00399,14.95056,-7.644676526932575e-07,0.3881012993594729
160.2797,0.004,14.93835,1.230868862446576e-07,-0.06248816456440836
160.2797,0.004,14.93759,1.367104402624731e-07,-0.06940450562551234
160.2797,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
160.3196,0.00399,14.94141,-6.010326982416598e-07,0.3051294195684095
160.3197,0.004,14.95514,-1.775329084897654e-07,0.09012906199654565
160.3197,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
160.3197,0.00399,14.9437,-6.419548681749362e-07,0.3259045920269966
160.3596,0.004,14.94522,0,0
160.3597,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
160.3597,0.00399,14.9559,-8.597569533962579e-07,0.4364773180014662
160.3597,0.00399,14.93988,-5.736846942780774e-07,0.2912455150817233
160.3995,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
160.3996,0.00399,14.9498,-7.509003459191753e-07,0.381213513631353
160.3996,0.004,14.94522,0,0
160.3996,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
160.4396,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
160.4397,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
160.4397,0.004,14.95514,-1.775329084897654e-07,0.09012906199654565
160.4397,0.004,14.93912,1.092854885613209e-07,-0.05548153667765718
160.4796,0.004,14.95285,-1.365709216209873e-07,0.06933367546565569
160.4797,0.004,14.94522,0,0
160.4797,0.004,14.95132,-1.091963136282581e-07,0.05543626477207682
160.4797,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
160.5196,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.5197,0.00399,14.95667,-8.734915578504981e-07,0.4434500366195787
160.5197,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.5197,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
160.5596,0.004,14.94522,0,0
160.5596,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
160.5596,0.004,14.94522,0,0
160.5597,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
160.5998,0.00399,14.94751,-7.100115668570218e-07,0.3604552928912904
160.5999,0.004,14.95667,-2.048935343599602e-07,0.1040193743127056
160.6,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
160.6,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
160.6396,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
160.6397,0.00399,14.94064,-5.872700238127981e-07,0.298142450519183
160.6397,0.004,14.9559,-1.911245073381133e-07,0.09702918020930816
160.6397,0.00401,14.94522,6.691102573263977e-07,-0.3396907107426346
160.6796,0.004,14.95285,-1.365709216209873e-07,0.06933367546565569
160.6797,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
160.6797,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
160.6797,0.004,14.95514,-1.775329084897654e-07,0.09012906199654565
160.7196,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
160.7197,0.004,14.94522,0,0
160.7197,0.004,14.95972,-2.594192600191298e-07,0.1317007351947374
160.7197,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
160.7596,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
160.7597,0.00399,14.9498,-7.509003459191753e-07,0.381213513631353
160.7597,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
160.7597,0.00401,14.93912,7.786689596091137e-07,-0.3953109512619817
160.7996,0.004,14.95209,-1.229737773871995e-07,0.06243074199800687
160.7997,0.004,14.95514,-1.775329084897654e-07,0.09012906199654565
160.7997,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
160.7997,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
160.8396,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
160.8397,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
160.8397,0.004,14.95361,-1.501666837363971e-07,0.07623590726602468
160.8397,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
160.8796,0.00399,14.94598,-6.826858806333264e-07,0.3465827185685665
160.8797,0.004,14.95056,-9.559638633260337e-08,0.04853191841282566
160.8797,0.00399,14.94217,-6.146152457147985e-07,0.3120249426220867
160.8797,0.00399,14.94903,-7.371531150961804e-07,0.3742343849184476
160.9196,0.004,14.94522,0,0
160.9197,0.00399,14.9437,-6.419548681749362e-07,0.3259045920269966
160.9197,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
160.9197,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
160.9596,0.004,14.95438,-1.639399281577855e-07,0.08322824243874818
160.9597,0.00399,14.94675,-6.964387226309323e-07,0.3535646959358915
160.9597,0.00399,14.93988,-5.736846942780774e-07,0.2912455150817233
160.9597,0.004,14.93835,1.230868862446576e-07,-0.06248816456440836
160.9996,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
160.9997,0.004,14.95667,-2.048935343599602e-07,0.1040193743127056
160.9997,0.004,14.93835,1.230868862446576e-07,-0.06248816456440836
160.9997,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
161.0396,0.004,14.95438,-1.639399281577855e-07,0.08322824243874818
161.0397,0.00399,14.94675,-6.964387226309323e-07,0.3535646959358915
161.0397,0.004,14.95667,-2.048935343599602e-07,0.1040193743127056
161.0397,0.00399,14.94751,-7.100115668570218e-07,0.3604552928912904
161.0796,0.004,14.93759,1.367104402624731e-07,-0.06940450562551234
161.0796,0.004,14.9437,2.722344777091133e-08,-0.01382067039162848
161.0797,0.004,14.94522,0,0
161.0797,0.00399,14.95056,-7.644676526932575e-07,0.3881012993594729
161.1196,0.004,14.94141,6.824817953360535e-08,-0.03464791095162113
161.1197,0.00399,14.94446,-6.555332532438753e-07,0.3327980019311211
161.1197,0.00399,14.94446,-6.555332532438753e-07,0.3327980019311211
161.1197,0.004,14.93912,1.092854885613209e-07,-0.05548153667765718
161.1596,0.004,14.94827,-5.46092968576879e-08,0.02772378791033022
161.1597,0.00399,14.94522,-6.691102573264519e-07,0.3396907107426621
161.1597,0.00399,14.93912,-5.60097982486526e-07,0.2843478779066949
161.1597,0.004,14.93454,1.913978615543832e-07,-0.09716795537676746
161.1996,0.004,14.94675,-2.739695769874524e-08,0.01390875708595344
161.1997,0.004,14.95361,-1.501666837363971e-07,0.07623590726602468
161.1998,0.004,14.94522,0,0
161.1998,0.00399,14.93912,-5.60097982486526e-07,0.2843478779066949
161.2396,0.00399,14.9437,-6.419548681749362e-07,0.3259045920269966
161.2397,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
161.2397,0.004,14.94751,-4.100381907829517e-08,0.02081662370791304
161.2397,0.004,14.94522,0,0
161.2796,0.00399,14.94675,-6.964387226309323e-07,0.3535646959358915
161.2796,0.004,14.93607,1.63961707585385e-07,-0.08323929931489056
161.2797,0.004,14.94522,0,0
161.2797,0.004,14.9498,-8.199507628344491e-08,0.0416268700638571
161.3196,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
161.3197,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
161.3197,0.004,14.94293,4.101638672676872e-08,-0.02082300399187312
161.3197,0.00399,14.94293,-6.281964115665032e-07,0.3189197642607702
161.3596,0.004,14.94598,-1.360964742541226e-08,0.006909281028462523
161.3597,0.004,14.93988,9.566472486052802e-08,-0.04856661219141842
161.3597,0.004,14.94217,5.463159058813468e-08,-0.02773510588529421
161.3597,0.00399,14.94675,-6.964387226309323e-07,0.3535646959358915
161.3996,0.004,14.94446,1.361103166172507e-08,-0.006909983770965401
161.3997,0.004,14.94522,0,0
